id,entity,lat,lon,display_name,source,confidence
3a3f6cdc0030,Sydsvenskan,55.5951498,13.0006164,"Sydsvenskan, Rådmansgatan, Rådmansvången, Norr, Malmö, Malmö kommun, Skåne län, 205 05, Sverige",https://www.flashback.org/t435500,0.48
787db2406f82,Värpinge,55.7052606,13.1515086,"Värpinge, Värpinge by, Väster, Lund, Lunds kommun, Skåne län, Sverige",https://www.flashback.org/t435500,0.48
5ffad2178258,Lite,58.4848096,13.0246155,"Odla lite, Örslösa distrikt, Lidköpings kommun, Västra Götalands län, 531 96, Sverige",https://www.flashback.org/t435500,0.48
a913caf34d6b,Nova Lund,55.7140074,13.1597728,"Nova Lund, 10, Företagsvägen, Pilsåker, Värpinge by, Väster, Lund, Lunds kommun, Skåne län, 227 61, Sverige",https://www.flashback.org/t435500,0.48
11c0171df6c7,Arlöv,55.6378013,13.0777501,"Arlöv, Malmö, Burlövs kommun, Skåne län, 232 34, Sverige",https://www.flashback.org/t435500p2,0.56
b44e36f3dbc7,Sen,36.2049349,-86.6178311,"Sweden Drive, Hermitage, Nashville, Davidson County, Middle Tennessee, Tennessee, 37076, United States",https://www.flashback.org/t1421697p2,0.64
efe52e9e0afc,Mitt,59.3351289,18.0538261,"Mitt hjärta i världen, Norra Bantorget, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 23, Sverige",https://www.flashback.org/t3699472p2,0.56
37613ac3a107,Inga,55.5884536,13.0044021,"Inga Marie Nilssons gata, Allmänna Sjukhuset, Innerstaden, Malmö, Malmö kommun, Skåne län, 205 01, Sverige",https://www.flashback.org/t3699472p2,0.56
f40cc54afc97,Rörsystem,58.0217997,11.8428909,"Weldac Rörsystem AB, 10, Vallenvägen, Berg, Dyrtorp, Stora Höga, Stenungsunds kommun, Västra Götalands län, 444 39, Sverige",https://www.flashback.org/t3699472p2,0.56
d6374ec07198,Systemet,57.6403906,18.2967128,"Systemet, Stora Torget, Hansestaden Visby, Hällarna, Visby, Gotlands kommun, Gotlands län, 621 56, Sverige",https://www.flashback.org/t3699472p2,0.56
9cb54b089eb8,Tja,65.8200331,19.3447445,"Tjappsåive, BD 640, Tjappsåive, Arvidsjaurs kommun, Norrbottens län, Sverige",https://www.flashback.org/t3725204,0.56
320d9589f5a2,Öst,59.3465554,18.0706402,"Stockholms östra, Valhallavägen, Ruddammen, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 100 41, Sverige",https://www.flashback.org/t3725204,0.56
